CONCEPT,REGION,STORE_TYPE,YEAR_TO_DATE_SALES_CURRENT_YEAR,YEAR_TO_DATE_SALES_LAST_YEAR,GROWTH_PERCENTAGE,ACHIEVEMENT_PERCENTAGE
babyshop,central,mall,87606014.73,88292963.08,-0.778,95.89264265
babyshop,central,standalone,72450378.22,67557926.01,7.2419,108.0046563
babyshop,eastern,mall,40918379.53,39642664.96,3.218,103.3861995
babyshop,eastern,standalone,42596570.07,42166695.07,1.0195,105.3498862
babyshop,ecomm,ecomm,108285183.8,98863631.73,9.5298,106.1971727
babyshop,western,mall,107808989.6,104786144.6,2.8848,100.371482
babyshop,western,standalone,40679513.16,36903237.85,10.2329,102.2333617
centrepoint ebrands,central,ecomm,null,null,null,null
centrepoint ebrands,central,mall,-519309.0801,-374226.1386,38.7688,-707.2068746
centrepoint ebrands,central,standalone,-545129.1462,-477854.4438,14.0785,-1328.368312
centrepoint ebrands,eastern,mall,-251768.7419,-144362.6921,74.4001,-470.4709066
centrepoint ebrands,eastern,standalone,-206296.0272,-191202.3272,7.8941,-749.9982811
centrepoint ebrands,ecomm,ecomm,30678770.86,33515237.73,-8.4632,97.68437476
centrepoint ebrands,western,mall,-524878.4581,-434695.105,20.7463,-611.8976462
centrepoint ebrands,western,standalone,-344069.9211,-350470.3181,-1.8262,-1022.97942
home box,central,mall,23804910.42,28434420.04,-16.2814,85.22849662
home box,central,standalone,21518984.62,22640937.18,-4.9554,101.0111431
home box,eastern,mall,7260925.619,7729630.76,-6.0637,91.33537445
home box,eastern,standalone,24181148.91,25641889.2,-5.6967,93.97600571
home box,ecomm,ecomm,110379121.3,106372700.2,3.7664,94.50209843
home box,western,mall,42890669.47,52890830.11,-18.9072,84.58892623
home box,western,standalone,29873293.38,31478943.7,-5.1007,75.31579197
home centre,central,mall,26742384.29,27795333.21,-3.7882,89.05756655
home centre,central,standalone,131222887.5,115536460.3,13.577,106.2621991
home centre,eastern,mall,7433033.08,7777965.27,-4.4347,93.21973343
home centre,eastern,standalone,68638334.98,69985368.2,-1.9247,100.6737525
home centre,ecomm,ecomm,230582903.9,211879588.4,8.8273,102.3146682
home centre,western,mall,98246833.3,105976026.7,-7.2933,94.16725109
home centre,western,standalone,51026800.15,53994104.14,-5.4956,97.2610435
iconic,ecomm,ecomm,null,null,null,null
lifestyle,central,mall,35632790.51,33790844.68,5.451,96.72963236
lifestyle,central,standalone,19941539.43,19728598.05,1.0794,93.13590782
lifestyle,eastern,mall,19785551.72,19835350.84,-0.2511,93.86129484
lifestyle,eastern,standalone,12999591.03,12859911.8,1.0862,98.9280898
lifestyle,ecomm,ecomm,21458087.32,17025385.15,26.0358,109.3972281
lifestyle,western,mall,43494672.34,42340400.27,2.7262,97.23067284
lifestyle,western,standalone,12220000.37,10555590.1,15.768,95.84275224
max,central,mall,211112070.5,174881805.4,20.717,111.3116844
max,central,standalone,148259313.9,125467804.5,18.1652,110.6821432
max,eastern,mall,84449175.48,74208362.32,13.8001,108.2989304
max,eastern,standalone,87009504.93,78319518.07,11.0956,108.9852423
max,ecomm,ecomm,116427170.8,91865466.94,26.7366,110.1302372
max,western,mall,246124619.5,200771007.3,22.5897,110.8801143
max,western,standalone,120887164.7,110948621.8,8.9578,108.3302558
shoe mart,central,mall,36272582.44,37374275.93,-2.9477,93.94754387
shoe mart,central,standalone,30128983.63,29795711.79,1.1185,104.6412031
shoe mart,eastern,mall,19159278.91,19497005.1,-1.7322,95.44439512
shoe mart,eastern,standalone,19777831.7,20451535.02,-3.2941,98.49566192
shoe mart,ecomm,ecomm,39092845.39,33026964.99,18.3664,98.18093509
shoe mart,western,mall,47718787.31,48452387.92,-1.5141,95.04708962
shoe mart,western,standalone,17288345.23,16744528.12,3.2477,96.40342136
shoexpress,central,mall,4052582.64,4365150.173,-7.1605,103.587607
shoexpress,central,standalone,1420226.78,1012556.84,40.2614,137.1983584
shoexpress,eastern,mall,2175559.36,2374808.64,-8.3901,90.31199233
shoexpress,eastern,standalone,815397.071,852057.912,-4.3026,96.56901298
shoexpress,ecomm,ecomm,9397035.787,7809833.267,20.3231,90.07171191
shoexpress,western,mall,5640797.05,6952633.88,-18.8682,89.85024813
shoexpress,western,standalone,80034.23,43179.836,85.3509,null
splash,central,mall,95363763.11,85098601.5,12.0627,106.8971649
splash,central,standalone,66863840.5,61225333.98,9.2094,109.684175
splash,eastern,mall,47054220.32,42203990.57,11.4923,110.9899527
splash,eastern,standalone,42904494.94,41948831.44,2.2782,107.0778205
splash,ecomm,ecomm,33848528.51,30467063.4,11.0988,95.93259383
splash,western,mall,113412514.3,108044406.9,4.9684,105.3447757
splash,western,standalone,41026528.33,34976840.05,17.2963,111.6575093
